,polygon_id,state,city,name,holc_id,holc_grade,area_descr,geometry,longitude,latitude
10,612.0,CA,Fresno,,C4,C,"{ ""1"" : ""In this large area are all kinds of residential structures. It is an old residential part of the city where the houses range from new ones to some 50 years old and range in cost from $1,500 to $20,000. Quite a number of the larger old houses hav","MULTIPOLYGON (((-11853101.3586394 2182904.344420879, -11853353.94644393 2182482.587786814, -11855077.98431409 2183483.149557549, -11855295.22429836 2183098.842119025, -11856114.24893762 2183558.38938931, -11858158.02556118 2184731.323365919, -11858027.36320858 2184958.195801552, -11857941.18074096 2185107.836657921, -11857714.69811415 2184997.456079592, -11855974.80494574 2183975.459808859, -11855723.30799874 2184412.229541929, -11853861.02415545 2183344.019643891, -11853136.31934119 2182938.774260689, -11853101.3586394 2182904.344420879)), ((-11854513.86459354 2191286.884118357, -11855196.52290074 2190084.795154491, -11855845.38233644 2188949.782042903, -11856400.90098016 2187955.854737228, -11855842.75141441 2187603.124236248, -11854132.31064208 2186632.607934377, -11851716.33401749 2185248.727563469, -11852028.1528684 2184728.038875269, -11852034.16097494 2184717.800719036, -11852535.84025681 2183862.899541211, -11852559.18688822 2183838.014140391, -11852629.6543612 2183762.90260561, -11852741.08958073 2183682.673818951, -11852937.13176622 2183598.210823388, -11853919.93629182 2184149.567910063, -11854204.75335484 2183675.846336841, -11855522.55636401 2184434.589247548, -11857694.42570945 2185682.892206983, -11857787.65381536 2185642.725984536, -11858956.51325053 2186315.954608877, -11859521.05598938 2185281.299711047, -11860284.16583489 2183922.890826333, -11860379.91563483 2183937.124380918, -11860843.53673698 2186136.976046599, -11861940.44304833 2185907.214998933, -11862187.35795696 2187077.268727868, -11862967.17716153 2186965.751539, -11863168.05498072 2187858.979796947, -11863252.37039041 2187876.274034259, -11863874.68443068 2187748.652483281, -11864261.36583827 2189485.550944571, -11864220.4461656 2189724.335931139, -11864937.74886151 2190144.975503362, -11865771.71025315 2190623.261580502, -11866022.15948856 2190750.777843514, -11866245.94172413 2192056.864715207, -11866482.29978113 2193143.923520492, -11866598.24866861 2193847.414606852, -11866332.57861406 2193689.69449038, -11866325.29796879 2193653.403512761, -11866193.53180928 2193581.449094102, -11863437.65411397 2192036.988685369, -11863434.90658908 2192041.822866001, -11863434.87729468 2192041.806588485, -11862549.67535787 2193599.359847185, -11862546.9280213 2193604.193691686, -11861199.08183339 2192856.288067455, -11860823.85694901 2193524.064391956, -11860823.8042099 2193524.03490927, -11860821.08069241 2193528.881977531, -11859609.50316977 2192848.820711405, -11859291.28675865 2193421.879983789, -11859291.12942078 2193421.981835316, -11859288.51083272 2193426.697592448, -11859285.95919277 2193425.331313025, -11858827.08788962 2193179.615589044, -11858106.1962657 2192790.739400846, -11857849.10596299 2193236.972429746, -11856794.14658737 2192626.801010055, -11856821.28875906 2192529.345336354, -11856931.6918506 2192287.35636832, -11857150.28217637 2191891.124262005, -11857356.03709275 2191571.709610962, -11856240.8770972 2190914.899756899, -11855596.4529145 2192021.100687717, -11854458.1813463 2191391.958781353, -11854458.31250378 2191391.711493745, -11854513.86459354 2191286.884118357)))",-11859260.411573207,2188836.578828682
11,614.0,CA,Fresno,,C5,C,"{ ""1"" : ""âC-5â is the hatched area in the northeasterly part of the city, occupied by American white laborers and artisans whose incomes range from about $900 to $1,200 a year. The houses already built average in age about 7 years, ranging from new h","MULTIPOLYGON (((-11848493.02331598 2183006.755558412, -11849410.23937157 2183524.969410953, -11849226.13297807 2183844.873323652, -11848944.25003987 2183692.274322428, -11848319.41916808 2184773.815600998, -11848586.99218124 2184947.049653338, -11847887.25529569 2186192.303343079, -11847395.39204245 2185909.240395104, -11845790.40264347 2184961.627908014, -11845771.79735286 2184893.18897448, -11846219.49360032 2184089.902382824, -11846471.30994291 2183666.52044732, -11847108.58112331 2182595.068998849, -11848336.50176031 2183270.355736962, -11848493.02331598 2183006.755558412)), ((-11849770.4638147 2184143.290478796, -11849737.32284324 2184083.314685708, -11849885.2946846 2183822.012441328, -11849888.06857507 2183817.19276215, -11850798.50090604 2184338.796273969, -11850795.72681879 2184343.615840396, -11850669.83383271 2184579.129784891, -11850661.69148668 2184656.249045852, -11851716.33401749 2185248.727563469, -11854132.31064208 2186632.607934377, -11854055.72643283 2186757.319245113, -11854054.80268279 2186758.823606564, -11852812.37039264 2188983.730740866, -11853842.09672645 2189579.083823282, -11853584.31329041 2190044.347363818, -11853224.15639605 2190694.117995817, -11853221.57034949 2190699.047512417, -11852244.06625914 2190138.572437337, -11849863.68948975 2188758.490231761, -11850492.49098202 2187674.572367044, -11848365.43587566 2186433.404600126, -11849060.22275179 2185226.199672724, -11849330.15627469 2185374.339833776, -11849945.63283114 2184342.75377527, -11849946.51205247 2184261.455597577, -11849770.4638147 2184143.290478796)))",-11850389.439016782,2186468.1457637893
12,624.0,CA,Fresno,,C6,C,"{ ""1"" : ""This area is in general like âC-1â. However, the people living here are mostly part of a colony of Seventh Day Adventists, having their own school. Inasmuch as the people form sort of a unit, sales, potentialities are limited. The neighborho","POLYGON ((-11867395.53950616 2193460.263267903, -11867401.80176019 2193448.528295712, -11868166.29603907 2193875.7889614, -11868223.92037016 2193868.093770564, -11868500.85735163 2193362.472498594, -11869288.34758677 2193797.425127335, -11869885.36710997 2194139.727024597, -11869263.96885248 2195264.1025094, -11868445.02461698 2194819.6461576, -11867060.04346216 2194049.135219288, -11867395.53950616 2193460.263267903))",-11868584.963163992,2194234.886379149
13,627.0,CA,Fresno,,C7,C,"{ ""1"" : ""This large area, almost divided by areas âD-4â and âD-5â, is occupied by laborers, tradesmen, and a few âwhite-collarâ workers, with incomes ranging from $600 to $2,000. The population is approximately 30% foreign born, 50% people of","POLYGON ((-11865292.31872877 2180901.096736679, -11864472.23754735 2180424.949303153, -11863715.57415674 2176855.163295518, -11866818.23424106 2178626.451257493, -11867103.01484069 2178789.020457675, -11866492.3566734 2179918.934574922, -11866816.96185911 2180118.007235444, -11868246.05352952 2180897.363230593, -11867484.42412355 2182163.467922474, -11870518.99018827 2183876.904775464, -11871504.39820431 2184433.511436754, -11873255.95400955 2185443.409269741, -11873179.92582695 2185596.231350036, -11871856.44846163 2187730.681092358, -11870563.95783591 2187001.506193403, -11870270.05358528 2187518.265618296, -11868022.8921046 2186270.412195143, -11867338.61622645 2183143.366755336, -11867098.03613315 2181945.336596077, -11865292.31872877 2180901.096736679))",-11868398.054112857,2183135.2578330385
14,622.0,CA,Fresno,,C8,C,"{ ""1"" : ""This is an area which was sub-divided 20 years ago with low-priced lots for low-priced houses. It is now occupied by workers employed in the fruit packing houses, laborers, and a very few âwhite-collarâ workers, whose incomes range from $600","POLYGON ((-11860135.51974178 2180789.306221541, -11858580.39830886 2179929.865106955, -11858061.16411803 2179630.885813804, -11858643.13557608 2178596.362820367, -11859350.2261201 2177401.922536122, -11860956.30226827 2178329.976508711, -11860339.60339373 2179428.827900046, -11860795.37139205 2179700.935168642, -11860135.51974178 2180789.306221541))",-11859599.55265253,2179115.9224888086
15,616.0,CA,Fresno,,C9,C,"{ ""1"" : ""This area includes that âyellowâ portion north of âC-8â and surrounding the small âblueâ area, âB-5â, the hatched area to the east and the âsolid yellowâ portion north of Ventura Boulevard and east of the County Hospital. The","MULTIPOLYGON (((-11853530.40022974 2180148.945270191, -11854244.41751618 2178937.87177847, -11855153.23376751 2179458.607503624, -11855771.42060045 2178351.13479285, -11857436.01913044 2179331.117756467, -11856996.25157965 2180120.116225578, -11857011.69884894 2180210.843875824, -11857560.23265089 2180521.863191606, -11858061.16411803 2179630.885813804, -11858580.39830886 2179929.865106955, -11860135.51974178 2180789.306221541, -11860212.85570495 2181141.958526072, -11860137.92753632 2181255.267886671, -11859870.56142466 2181946.169225391, -11859655.60918044 2182310.998427582, -11859030.0785688 2183423.067266665, -11858922.4250118 2183613.237063265, -11858679.05539423 2183475.480665412, -11856728.43748019 2182354.601955168, -11856550.7369669 2182659.017131167, -11856498.53061048 2182686.717295068, -11855828.69106695 2182301.036071392, -11854026.81045352 2181282.931795059, -11854349.79019854 2180740.93858556, -11854385.45685105 2180657.986256911, -11853530.40022974 2180148.945270191), (-11859186.81371783 2182106.343922612, -11859045.35917936 2181235.386854063, -11858293.24982544 2180811.908177055, -11857621.39547854 2181970.263416569, -11858843.35670865 2182669.140211821, -11859186.81371783 2182106.343922612)), ((-11852210.08253195 2179480.087844708, -11853417.57939 2180164.44772411, -11852140.7159083 2182355.701242233, -11852053.98146009 2182306.168098756, -11850964.82582702 2181684.200259363, -11850456.44756578 2181389.460287733, -11851028.70840787 2180381.793323582, -11850503.10631111 2180063.277330666, -11849169.14622036 2179287.662591378, -11849831.82369077 2178128.95069463, -11850683.8723009 2178615.217445909, -11852210.08253195 2179480.087844708)))",-11855028.950495401,2180672.1120621227
16,609.0,CA,Fresno,,D1,D,"{ ""1"" : ""This area is located on the north side of Fresno but is separated form the best and most popular sections by a main line railroad running northwest. The area is level and is occupied by American whites entirely, most of whom are laborers and art","POLYGON ((-11858254.88888625 2195166.022269879, -11858556.588651 2195330.240380699, -11858673.14976384 2197052.854405174, -11858666.75176946 2197294.592215026, -11858718.84958603 2199044.958594361, -11858720.65240825 2199943.072374052, -11858667.20553436 2199958.983002922, -11858598.65674026 2199945.305216877, -11856887.63134963 2198985.725638512, -11856732.35576469 2198898.652396532, -11856244.906831 2198624.993660216, -11857412.43652213 2196634.534400514, -11858254.88888625 2195166.022269879))",-11857842.95854074,2197813.0258005382
17,613.0,CA,Fresno,,D2,D,"{ ""1"" : ""This is a section in which American white laborers live whose incomes range from $600 to $1,200. The properties are generally not well-kept, and for the most part the improvements are of very poor construction. Many of the houses are little bett","POLYGON ((-11854132.31064208 2186632.607934377, -11855842.75141441 2187603.124236248, -11856400.90098016 2187955.854737228, -11855845.38233644 2188949.782042903, -11855196.52290074 2190084.795154491, -11854513.86459354 2191286.884118357, -11854458.31250378 2191391.711493745, -11854089.64383481 2192029.079277212, -11852885.82472081 2191339.00934735, -11853221.57034949 2190699.047512417, -11853224.15639605 2190694.117995817, -11853584.31329041 2190044.347363818, -11853842.09672645 2189579.083823282, -11852812.37039264 2188983.730740866, -11854054.80268279 2186758.823606564, -11854055.72643283 2186757.319245113, -11854132.31064208 2186632.607934377))",-11854428.479715696,2189128.260878861
18,625.0,CA,Fresno,,D3,D,"{ ""1"" : ""This area comprises two small sections on either side of âC-6â. The part in solid âredâ are occupied by laborers and small wage earners making from $900 to $1500 per year, and the properties, most of which are cheap, reflect little pride","MULTIPOLYGON (((-11867307.95388459 2192703.667484866, -11868500.85735163 2193362.472498594, -11868223.92037016 2193868.093770564, -11868166.29603907 2193875.7889614, -11867401.80176019 2193448.528295712, -11867031.39863181 2193245.455603078, -11867307.95388459 2192703.667484866)), ((-11869885.36710997 2194139.727024597, -11870493.59262735 2194488.475742655, -11869868.48896571 2195572.343441451, -11869760.02496604 2195529.849272045, -11869390.23387393 2195332.632271746, -11869263.96885248 2195264.1025094, -11869885.36710997 2194139.727024597)))",-11868854.278340755,2194108.619693074
19,626.0,CA,Fresno,,D4,D,"{ ""1"" : ""This large âredâ area contains the most mixed population of any part of the City of Fresno. In it are found Japanese, Chinese, negroes, uneducated Italians, and a few representatives of several other races. Most of these people are laborers","POLYGON ((-11865292.31872877 2180901.096736679, -11867098.03613315 2181945.336596077, -11867338.61622645 2183143.366755336, -11868022.8921046 2186270.412195143, -11870270.05358528 2187518.265618296, -11869590.63240641 2188731.653229601, -11869008.39273994 2189752.713743834, -11868089.37383826 2191464.141305517, -11867940.38146447 2191609.34045307, -11866329.33361584 2190717.720111251, -11866246.75267428 2190361.194351065, -11865991.48773025 2189136.827231354, -11865651.53820556 2187360.120675999, -11866540.16745194 2187178.164683172, -11866356.55347542 2186227.739188079, -11866679.32139843 2186199.100652567, -11866650.07686948 2185987.642567574, -11866227.24896607 2183801.911611609, -11865846.4336185 2183861.334911681, -11865654.56140423 2182998.422039885, -11865449.14243339 2181926.401094936, -11865273.34877645 2180925.278348216, -11865292.31872877 2180901.096736679))",-11867395.56745195,2187052.497931665
